,ARRIVE_TIME
0,26200.0
1,26205.0
2,26210.0
3,26215.0
4,26220.0
5,26225.0
6,26230.0
7,26235.0
8,26240.0
9,26245.0
10,26250.0
11,26255.0
12,26260.0
13,26265.0
14,26270.0
15,26275.0
16,26280.0
17,26285.0
18,26290.0
19,26295.0
20,26300.0
21,26305.0
22,26315.0
23,26320.0
24,26325.0
25,26330.0
26,26335.0
27,26340.0
28,26345.0
29,26350.0
30,26355.0
31,26359.0
32,26370.0
33,26375.0
34,26380.0
35,26385.0
36,26390.0
37,26395.0
38,26400.0
39,26405.0
40,26410.0
41,26415.0
42,26420.0
43,26425.0
44,26430.0
45,26435.0
46,26440.0
47,26445.0
48,26450.0
49,26455.0
50,26460.0
51,26465.0
52,26470.0
53,26475.0
54,26480.0
55,26485.0
56,26490.0
57,26495.0
58,26500.0
59,26505.0
60,26510.0
61,26515.0
62,26520.0
63,26525.0
64,26530.0
65,26535.0
66,26540.0
67,26545.0
68,26550.0
69,26555.0
70,26560.0
71,26565.0
72,26570.0
73,26575.0
74,26580.0
75,26585.0
76,26590.0
77,26595.0
78,26600.0
79,26605.0
80,26610.0
81,26615.0
82,26625.0
83,26630.0
84,26635.0
85,26640.0
86,26645.0
87,26650.0
88,26655.0
89,26660.0
90,26665.0
91,26670.0
92,26675.0
93,26680.0
94,26685.0
95,26690.0
96,26695.0
97,26700.0
98,26705.0
99,26710.0
100,26715.0
101,26720.0
102,26725.0
103,26730.0
104,26735.0
105,26740.0
106,26745.0
107,26750.0
108,26755.0
109,26760.0
110,26765.0
111,26770.0
112,26775.0
113,26780.0
114,26785.0
115,26790.0
116,26795.0
117,26800.0
118,26850.0
119,26855.0
120,26860.0
121,26865.0
122,26870.0
123,26875.0
124,26879.0
125,26885.0
126,26890.0
127,26895.0
128,26900.0
129,26905.0
130,26910.0
131,26915.0
132,26920.0
133,26925.0
134,26930.0
135,26935.0
136,26940.0
137,26945.0
138,26950.0
139,26955.0
140,26960.0
141,26965.0
142,26970.0
143,26975.0
144,26980.0
145,26985.0
146,26989.0
147,26990.0
148,26995.0
149,27000.0
150,27005.0
151,27010.0
152,27015.0
153,27020.0
154,27025.0
155,27030.0
156,28247.0
157,28252.0
158,28257.0
159,28262.0
160,28267.0
161,28272.0
162,28277.0
163,28282.0
164,28287.0
165,28292.0
166,28297.0
167,28302.0
168,28352.0
169,28357.0
170,28362.0
171,28367.0
172,28372.0
173,28377.0
174,28382.0
175,28387.0
176,28392.0
177,28397.0
178,28402.0
179,28412.0
180,28417.0
181,28422.0
182,28427.0
183,28432.0
184,28437.0
185,28442.0
186,28447.0
187,28477.0
188,28482.0
189,28487.0
190,28492.0
191,28497.0
192,28502.0
193,28507.0
194,28512.0
195,28517.0
196,28522.0
197,28527.0
198,28532.0
199,28537.0
200,28542.0
201,28587.0
202,28592.0
203,28597.0
204,28602.0
205,28607.0
206,28612.0
207,28617.0
208,28622.0
209,28627.0
210,28632.0
211,28637.0
212,28642.0
213,28647.0
214,28652.0
215,28657.0
216,28662.0
217,28667.0
218,28672.0
219,28682.0
220,28692.0
221,28697.0
222,28702.0
223,28707.0
224,28712.0
225,28717.0
226,28722.0
227,28727.0
228,28732.0
229,28737.0
230,28742.0
231,28747.0
232,28752.0
233,28757.0
234,28762.0
235,28767.0
236,28772.0
237,28777.0
238,28782.0
239,28787.0
240,28792.0
241,28797.0
242,28802.0
243,28807.0
244,28812.0
245,28817.0
246,28822.0
247,28827.0
248,28832.0
249,28837.0
250,28842.0
251,28847.0
252,28852.0
253,28857.0
254,28862.0
255,28867.0
256,28872.0
257,28877.0
258,28882.0
259,28887.0
260,28892.0
261,28912.0
262,28917.0
263,28922.0
264,28927.0
265,28932.0
266,28937.0
267,28942.0
268,28947.0
269,28952.0
270,28957.0
271,28962.0
272,28967.0
273,28972.0
274,28977.0
275,28982.0
276,28987.0
277,28992.0
278,28997.0
279,29002.0
280,29007.0
281,29012.0
282,29017.0
283,29022.0
284,29028.0
285,29033.0
286,29039.0
287,29044.0
288,29049.0
289,29054.0
290,29059.0
291,29064.0
292,29069.0
293,29074.0
294,29079.0
295,29084.0
296,29089.0
297,29094.0
298,29099.0
299,29104.0
300,29109.0
301,29114.0
302,29119.0
303,29124.0
304,29129.0
305,29134.0
306,29139.0
307,29224.0
308,29229.0
309,29234.0
310,29239.0
311,29244.0
312,29249.0
313,29254.0
314,29259.0
315,29264.0
316,29269.0
317,29274.0
318,29279.0
319,29284.0
320,29289.0
321,29294.0
322,29299.0
323,29304.0
324,29309.0
325,29314.0
326,29319.0
327,29324.0
328,29329.0
329,29334.0
330,29339.0
331,29344.0
332,29349.0
333,29354.0
334,29359.0
335,29364.0
336,29369.0
337,29374.0
338,29379.0
339,29384.0
340,29389.0
341,29394.0
342,29399.0
343,29404.0
344,29409.0
345,29414.0
346,29419.0
347,29424.0
348,29429.0
349,29434.0
350,29439.0
351,29444.0
352,29449.0
353,29474.0
354,29479.0
355,29484.0
356,29489.0
357,29494.0
358,29499.0
359,29504.0
360,29509.0
361,29514.0
362,29519.0
363,29524.0
364,29529.0
365,29534.0
366,29539.0
367,29614.0
368,29619.0
369,29624.0
370,29629.0
371,29634.0
372,29639.0
373,29644.0
374,29649.0
375,29654.0
376,29659.0
377,29664.0
378,29674.0
379,29679.0
380,29684.0
381,29689.0
382,29694.0
383,29699.0
384,29704.0
385,29709.0
386,29714.0
387,29719.0
388,29724.0
389,29729.0
390,29734.0
391,29739.0
392,29744.0
393,29749.0
394,29754.0
395,29759.0
396,29764.0
397,29769.0
398,29774.0
399,29779.0
400,29784.0
401,29789.0
402,29794.0
403,29799.0
404,29804.0
405,29809.0
406,29814.0
407,29819.0
408,29824.0
409,29829.0
410,29834.0
411,29839.0
412,29844.0
413,29849.0
414,29854.0
415,29859.0
416,29864.0
417,29869.0
418,29874.0
419,29879.0
420,29884.0
421,29889.0
422,29894.0
423,29899.0
424,29904.0
425,29909.0
426,29914.0
427,29919.0
428,29924.0
429,29929.0
430,29934.0
431,29939.0
432,29944.0
433,29949.0
434,29954.0
435,29959.0
436,29964.0
437,29969.0
438,29974.0
439,29979.0
440,29984.0
441,29989.0
442,29994.0
443,29999.0
444,30004.0
445,30009.0
446,30014.0
447,30019.0
448,30024.0
449,30029.0
450,30044.0
451,30049.0
452,30054.0
453,30059.0
454,30064.0
455,30069.0
456,30074.0
457,30134.0
458,30139.0
459,30144.0
460,30149.0
461,30154.0
462,30159.0
463,30164.0
464,30169.0
465,30174.0
466,30179.0
467,30184.0
468,30189.0
469,30194.0
470,30199.0
471,30204.0
472,30209.0
473,30214.0
474,30219.0
475,30224.0
476,30229.0
477,30234.0
478,30239.0
479,30244.0
480,30259.0
481,30264.0
482,30269.0
483,30274.0
484,30279.0
485,30284.0
