State,Town,University
Alabama,Auburn ,Auburn University
Alabama,Florence ,University of North Alabama
Alabama,Jacksonville ,Jacksonville State University
Alabama,Livingston ,University of West Alabama
Alabama,Montevallo ,University of Montevallo
Alabama,Troy ,Troy University
Alabama,Troy ,Troy University
Alabama,Tuskegee ,Tuskegee University
Alaska,Tuskegee ,Tuskegee University
Alaska,Fairbanks ,University of Alaska Fairbanks
Arizona,Fairbanks ,University of Alaska Fairbanks
Arizona,Flagstaff ,Northern Arizona University
Arizona,Tempe ,Arizona State University
Arizona,Tucson ,University of Arizona
Arkansas,Tucson ,University of Arizona
Arkansas,Tucson ,University of Arizona
Arkansas,Tucson ,University of Arizona
Arkansas,Fayetteville ,University of Arkansas
Arkansas,Jonesboro ,Arkansas State University
Arkansas,Magnolia ,Southern Arkansas University
Arkansas,Monticello ,University of Arkansas at Monticello
Arkansas,Russellville ,Arkansas Tech University
Arkansas,Searcy ,Harding University
California,Searcy ,Harding University
California,Angwin ,Pacific Union College
California,Arcata ,Humboldt State University
California,Arcata ,Humboldt State University
California,Arcata ,Humboldt State University
California,Arcata ,Humboldt State University
California,Arcata ,Humboldt State University
California,Arcata ,Humboldt State University
California,Arcata ,Humboldt State University
California,Arcata ,Humboldt State University
California,Arcata ,Humboldt State University
California,Arcata ,Humboldt State University
California,Orange ,Chapman University
California,Palo Alto ,Stanford University
California,Palo Alto ,Stanford University
California,Redlands ,University of Redlands
California,Redlands ,University of Redlands
California,Redlands ,University of Redlands
California,Redlands ,University of Redlands
California,Redlands ,University of Redlands
California,San Luis Obispo ,California Polytechnic State University
California,San Luis Obispo ,California Polytechnic State University
California,San Luis Obispo ,California Polytechnic State University
California,San Luis Obispo ,California Polytechnic State University
California,San Luis Obispo ,California Polytechnic State University
California,Whittier ,Whittier CollegeRio Hondo College
Colorado,Whittier ,Whittier CollegeRio Hondo College
Colorado,Alamosa ,Adams State College
Colorado,Boulder ,University of Colorado at Boulder
Colorado,Durango ,Fort Lewis College
Colorado,Fort Collins ,Colorado State University
Colorado,Golden ,Colorado School of Mines
Colorado,Grand Junction ,Colorado Mesa University
Colorado,Greeley ,University of Northern Colorado
Colorado,Gunnison ,Western State College
Colorado,Gunnison ,Western State College
Connecticut,Gunnison ,Western State College
Connecticut,Gunnison ,Western State College
Connecticut,Middletown ,Wesleyan University
Connecticut,New Britain ,Central Connecticut State University
Connecticut,New Britain ,Central Connecticut State University
Connecticut,New Britain ,Central Connecticut State University
Connecticut,Storrs ,University of Connecticut
Connecticut,Willimantic ,Eastern Connecticut State University
Delaware,Willimantic ,Eastern Connecticut State University
Delaware,Dover ,Delaware State University
Delaware,Newark ,University of Delaware
Florida,Newark ,University of Delaware
Florida,Ave Maria ,Ave Maria University
Florida,Boca Raton ,Florida Atlantic University
Florida,Coral Gables ,University of Miami
Florida,DeLand ,Stetson University
Florida,Estero ,Florida Gulf Coast University
Florida,Estero ,Florida Gulf Coast University
Florida,Orlando ,University of Central Florida
Florida,Orlando ,University of Central Florida
Florida,St. Augustine ,Flagler College
Florida,St. Leo ,St. Leo University
Florida,St. Leo ,St. Leo University
